Category: Beauty & Fitness

Country,pink clay: (10/2/13 - 10/2/18)
Singapore,100
Australia,67
Malaysia,38
United Kingdom,36
New Zealand,32
Canada,30
Ireland,24
United States,21
Philippines,18
Indonesia,9
Netherlands,6
Thailand,5
India,4
Germany,3
Italy,2
Turkey,2
Spain,2
France,2
St. Lucia,
Brunei,
Bermuda,
Aruba,
Curaçao,
Jersey,
Botswana,
Macau,
Bahrain,
Cyprus,
Iceland,
Qatar,
Palestine,
Trinidad & Tobago,
Mongolia,
Cambodia,
Malta,
Hong Kong,
Nepal,
Mauritius,
St. Helena,
Luxembourg,
Myanmar (Burma),
Lebanon,
Finland,
Albania,
Norway,
Denmark,
Kuwait,
Puerto Rico,
Sweden,
Honduras,
Estonia,
Paraguay,
Switzerland,
Slovenia,
Georgia,
Panama,
United Arab Emirates,
Latvia,
Serbia,
Croatia,
Israel,
South Africa,
Lithuania,
Greece,
Belgium,
Austria,
Kenya,
Azerbaijan,
Belarus,
Czechia,
Sri Lanka,
Costa Rica,
Saudi Arabia,
Kazakhstan,
Jordan,
Bangladesh,
Poland,
Ukraine,
Hungary,
Vietnam,
Nigeria,
Morocco,
South Korea,
Pakistan,
Slovakia,
Russia,
Iraq,
Taiwan,
Bulgaria,
Portugal,
Ecuador,
Egypt,
Mexico,
Venezuela,
Romania,
Chile,
Iran,
Brazil,
Peru,
Colombia,
Argentina,
Japan,
Afghanistan,
Angola,
Anguilla,
Åland Islands,
Andorra,
Armenia,
American Samoa,
Antarctica,
French Southern Territories,
Antigua & Barbuda,
Burundi,
Benin,
Caribbean Netherlands,
Burkina Faso,
Bahamas,
Bosnia & Herzegovina,
St. Barthélemy,
Belize,
Bolivia,
Barbados,
Bhutan,
Bouvet Island,
Central African Republic,
Cocos (Keeling) Islands,
China,
Côte d’Ivoire,
Cameroon,
Congo - Kinshasa,
Congo - Brazzaville,
Cook Islands,
Comoros,
Cape Verde,
Cuba,
Christmas Island,
Cayman Islands,
Djibouti,
Dominica,
Dominican Republic,
Algeria,
Eritrea,
Western Sahara,
Ethiopia,
Fiji,
Falkland Islands (Islas Malvinas),
Faroe Islands,
Micronesia,
Gabon,
Guernsey,
Ghana,
Gibraltar,
Guinea,
Guadeloupe,
Gambia,
Guinea-Bissau,
Equatorial Guinea,
Grenada,
Greenland,
Guatemala,
French Guiana,
Guam,
Guyana,
Heard & McDonald Islands,
Haiti,
Isle of Man,
British Indian Ocean Territory,
Jamaica,
Kyrgyzstan,
Kiribati,
St. Kitts & Nevis,
Laos,
Liberia,
Libya,
Liechtenstein,
Lesotho,
St. Martin,
Monaco,
Moldova,
Madagascar,
Maldives,
Marshall Islands,
Macedonia (FYROM),
Mali,
Montenegro,
Northern Mariana Islands,
Mozambique,
Mauritania,
Montserrat,
Martinique,
Malawi,
Mayotte,
Namibia,
New Caledonia,
Niger,
Norfolk Island,
Nicaragua,
Niue,
Nauru,
Oman,
Pitcairn Islands,
Palau,
Papua New Guinea,
North Korea,
French Polynesia,
Réunion,
Rwanda,
Sudan,
Senegal,
South Georgia & South Sandwich Islands,
Svalbard & Jan Mayen,
Solomon Islands,
Sierra Leone,
El Salvador,
San Marino,
Somalia,
St. Pierre & Miquelon,
South Sudan,
São Tomé & Príncipe,
Suriname,
Swaziland,
Sint Maarten,
Seychelles,
Syria,
Turks & Caicos Islands,
Chad,
Togo,
Tajikistan,
Tokelau,
Turkmenistan,
Timor-Leste,
Tonga,
Tunisia,
Tuvalu,
Tanzania,
Uganda,
U.S. Outlying Islands,
Uruguay,
Uzbekistan,
Vatican City,
St. Vincent & Grenadines,
British Virgin Islands,
U.S. Virgin Islands,
Vanuatu,
Wallis & Futuna,
Samoa,
Kosovo,
Yemen,
Zambia,
Zimbabwe,
